date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:42:47	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2022%20Apr%202023%2006:42:51%20GMT	https://toystore-template.webflow.io/robots.txt		(from )
23:42:48	43343/43343	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:42:52%20GMT	https://toystore-template.webflow.io/	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/index.html	(from )
23:42:48	159923/159923	---M-Z	200	added ('OK')	text/css	etag:%228b5791436cf6a1e3a81590fc1a6769aa%22	https://assets.website-files.com/5badda2935e11303a89a461e/css/toystore-template.webflow.f565c55c5.css	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5badda2935e11303a89a461e/css/toystore-template.webflow.f565c55c5.css	(from https://toystore-template.webflow.io/)
23:42:49	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/Justin/Desktop/Website/template/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://toystore-template.webflow.io/)
23:42:49	1113/1113	---M--	200	added ('OK')	image/png	etag:%22ba2ddc25fd12e0c5b64c197e60508425%22	https://assets.website-files.com/5badda2935e11303a89a461e/5bd83035e7345f2f22c0bece_favicon.png	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5badda2935e11303a89a461e/5bd83035e7345f2f22c0bece_favicon.png	(from https://toystore-template.webflow.io/)
23:42:49	8524/8524	---M--	200	added ('OK')	image/png	etag:%221d5293b4b0a2752023f08a0e49f1e94c%22	https://assets.website-files.com/5badda2935e11303a89a461e/5bd8303816e1ea6c375be6cb_webclip.png	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5badda2935e11303a89a461e/5bd8303816e1ea6c375be6cb_webclip.png	(from https://toystore-template.webflow.io/)
23:42:50	71675/71675	---M--	200	added ('OK')	image/gif	etag:%22aa76b21cddc3685aad0a26af8efb619d%22	https://assets.website-files.com/5badda2935e11303a89a461e/5bc1931d898dce4c7abcd74f_preloader.gif	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5badda2935e11303a89a461e/5bc1931d898dce4c7abcd74f_preloader.gif	(from https://toystore-template.webflow.io/)
23:42:50	45710/45710	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:42:54%20GMT	https://toystore-template.webflow.io/catalog	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/catalog.html	(from https://toystore-template.webflow.io/)
23:42:50	31073/31073	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:42:55%20GMT	https://toystore-template.webflow.io/delivery	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/delivery.html	(from https://toystore-template.webflow.io/)
23:42:51	34672/34672	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:42:55%20GMT	https://toystore-template.webflow.io/about	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/about.html	(from https://toystore-template.webflow.io/)
